"feedback_text","sentiment_label"
"Dù áp lực vì áp lực thi cử nhưng cuối cùng em vẫn vẫn học ổn.","POSITIVE"
"Dù tiến độ nhanh, em vẫn cảm thấy ổn và làm được bài tập được.","POSITIVE"
"Cứ tưởng sẽ dễ hiểu bài hơn nhưng thực ra em đang mất động lực nhiều lắm.","NEGATIVE"
"Tuy cáu gắt liên tục nhưng nhìn chung em vẫn theo kịp bài.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với tốc độ giảng bài em thấy hài lòng ghê và dễ chịu hơn trước.","POSITIVE"
"Cứ tưởng sẽ dễ vượt qua dễ dàng hơn nhưng thực ra em đang kiệt sức nhiều lắm.","NEGATIVE"
"Có lúc thấy rất mệt mỏi nhưng nhìn chung em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Dù deadline nhiều nhưng em vẫn làm được bài tập tốt, không quá lo.","POSITIVE"
"Nhờ tâm lý thoải mái hơn nên em có thêm năng lượng, thấy thấy tiến bộ rõ với mọi thứ, kể cả tài liệu học tập.","POSITIVE"
"Gần đây em cân đối được thời gian hơn nên mục tiêu cá nhân không còn là áp lực lớn, em thấy hài lòng ghê.","POSITIVE"
"Có lúc thấy cảm thấy bất an nhưng nhìn chung em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Dù áp lực vì deadline nhiều nhưng cuối cùng em vẫn vẫn học ổn.","POSITIVE"
"Dù áp lực vì deadline nhiều nhưng cuối cùng em vẫn làm được bài tập.","POSITIVE"
"bài hơi khó không làm em nản, em vẫn vẫn học ổn như thường.","POSITIVE"
"Dù áp lực vì bài hơi khó nhưng cuối cùng em vẫn hiểu được nội dung chính.","POSITIVE"
"Dù đã cố gắng nhưng em vẫn cứ thấy đuối sức, không biết làm thế nào.","NEGATIVE"
"Em cũng muốn cân bằng được lắm nhưng hiện tại chỉ thấy đuối sức thôi.","NEGATIVE"
"Dù hơi cáu gắt liên tục thật nhưng em vẫn đang vẫn học ổn bình thường.","NEUTRAL"
"Do tài chính eo hẹp làm em lo lắng kéo dài, em trở nên căng thẳng với xung quanh, kể cả với mối quan hệ nhóm dù không muốn vậy.","NEGATIVE"
"Tưởng sẽ ổn định nhưng cuối cùng em lại thấy kiệt sức.","NEGATIVE"
"Dạo này em đang gặp chuyện kỳ vọng của gia đình quá lớn, vì thế khi đối mặt với mối quan hệ với thầy cô cứ thấy bị quá tải và khó tập trung.","NEGATIVE"
"Em cũng muốn hiểu bài lắm nhưng hiện tại chỉ thấy cảm thấy bất an thôi.","NEGATIVE"
"Dù áp lực thi cử, em vẫn cảm thấy ổn và hiểu được nội dung chính được.","POSITIVE"
"Môn này ban đầu em sợ lắm nhưng giờ thấy khá thú vị rồi.","POSITIVE"
"Nhờ tâm lý thoải mái hơn nên em có thêm năng lượng, thấy yên tâm hơn nhiều với mọi thứ, kể cả cảm giác không đủ năng lực.","POSITIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại sự phù hợp của ngành học em thấy phấn khởi hơn nhiều và dễ xử lý hơn trước.","POSITIVE"
"Mặc dù stress nặng nhưng em vẫn theo kịp bài được.","NEUTRAL"
"Hơi bực bội không kiểm soát được nhưng em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Có lúc thấy stress nặng nhưng nhìn chung em vẫn hiểu được nội dung chính.","NEUTRAL"
"Cứ tưởng sẽ dễ theo kịp hơn nhưng thực ra em đang không theo kịp nhiều lắm.","NEGATIVE"
"Em cũng muốn hiểu bài lắm nhưng hiện tại chỉ thấy không tập trung được thôi.","NEGATIVE"
"Cứ tưởng sẽ dễ vượt qua dễ dàng hơn nhưng thực ra em đang đuối sức nhiều lắm.","NEGATIVE"
"Em cảm thấy tụt hậu so với cả lớp.","NEGATIVE"
"Dù tiến độ nhanh nhưng em vẫn làm được bài tập tốt, không quá lo.","POSITIVE"
"Hơi rất mệt mỏi nhưng em vẫn làm được bài tập.","NEUTRAL"
"Cứ nghĩ mọi thứ sẽ ổn hơn nhưng em lại thấy cảm thấy bất an hoài.","NEGATIVE"
"Nhờ tâm lý thoải mái hơn nên em có thêm năng lượng, thấy tự tin hơn trước nhiều với mọi thứ, kể cả lịch học.","POSITIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại cách chấm điểm em thấy dễ tiếp thu hơn và dễ xử lý hơn trước.","POSITIVE"
"Do không có tài liệu rõ ràng kéo dài, em trở nên kiệt sức với xung quanh, kể cả với mức năng lượng hàng ngày dù không muốn vậy.","NEGATIVE"
"Dạo này tinh thần em khá ổn, đối mặt với thời gian tự do em thấy phấn khởi hơn nhiều và dễ chịu hơn trước.","POSITIVE"
"Tuy đuối sức nhưng nhìn chung em vẫn hiểu được nội dung chính.","NEUTRAL"
"Em chưa quyết định được hướng đi nên mọi thứ, kể cả tâm trạng gần đây, vẫn còn không thích không ghét.","NEUTRAL"
"Em đang phải vừa lo áp lực từ nhiều môn cùng lúc vừa lo việc ăn uống, cảm giác hơi mệt thật sự, không biết trụ được bao lâu.","NEGATIVE"
"Dù hơi đuối sức thật nhưng em vẫn đang làm được bài tập bình thường.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với đi lại hàng ngày em thấy rất ổn và dễ chịu hơn trước.","POSITIVE"
"Em đang phải vừa lo áp lực từ nhiều môn cùng lúc vừa lo áp lực từ bố mẹ, cảm giác đuối sức thật sự, không biết trụ được bao lâu.","NEGATIVE"
"Gần đây em cân đối được thời gian hơn nên đi lại hàng ngày không còn là áp lực lớn, em thấy phấn khởi hơn nhiều.","POSITIVE"
"Gần đây em cân đối được thời gian hơn nên feedback từ thầy cô không còn là áp lực lớn, em thấy tự tin hơn trước nhiều.","POSITIVE"
"Vì sức khoẻ không tốt dạo này nên dù chi tiêu hàng tháng không hẳn là quá khó, em vẫn cứ thấy đầu óc quay tít liên tục.","NEGATIVE"
"Vì áp lực từ nhiều môn cùng lúc nên dù sự phù hợp của ngành học không hẳn là quá khó, em vẫn cứ thấy không tập trung được liên tục.","NEGATIVE"
"Mặc dù quá tải thật sự nhưng em vẫn vẫn học ổn được.","NEUTRAL"
"Tâm trạng em tốt hơn hẳn, nhìn lại áp lực thi cử em thấy rất thoải mái và dễ xử lý hơn trước.","POSITIVE"
"Hơi không theo kịp nhưng em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với bài kiểm tra giữa kỳ em thấy thấy tiến bộ rõ và dễ chịu hơn trước.","POSITIVE"
"Chuyện chuyện gia đình làm em phân tâm đang ảnh hưởng nhiều, cứ tiếp cận cảm giác không đủ năng lực mà em luôn trong trạng thái lo lắng không yên mấy ngày nay.","NEGATIVE"
"Tưởng sẽ cân bằng được nhưng cuối cùng em lại thấy bực bội không kiểm soát được.","NEGATIVE"
"Em vẫn đang cố cân bằng giữa cuộc sống và mối quan hệ với thầy cô nên nhìn chung thấy không thích không ghét thôi.","NEUTRAL"
"Em cũng muốn cân bằng được lắm nhưng hiện tại chỉ thấy stress nặng thôi.","NEGATIVE"
"Dù hơi quá tải thật sự thật nhưng em vẫn đang hiểu được nội dung chính bình thường.","NEUTRAL"
"Nhờ áp lực gia đình giảm bớt nên em có thêm năng lượng, thấy chill hơn hẳn với mọi thứ, kể cả áp lực thi cử.","POSITIVE"
"Dù lịch học dày, em vẫn cảm thấy ổn và theo kịp bài được.","POSITIVE"
"Dù tiến độ nhanh, em vẫn cảm thấy ổn và giữ được tâm lý tốt được.","POSITIVE"
"Dù hơi bực bội không kiểm soát được thật nhưng em vẫn đang giữ được tâm lý tốt bình thường.","NEUTRAL"
"Dù hơi stress nặng thật nhưng em vẫn đang theo kịp bài bình thường.","NEUTRAL"
"Tâm trạng em tốt hơn hẳn, nhìn lại mục tiêu cá nhân em thấy yên tâm hơn nhiều và dễ xử lý hơn trước.","POSITIVE"
"Có lúc thấy mất động lực nhưng nhìn chung em vẫn theo kịp bài.","NEUTRAL"
"Do tiến độ học quá nhanh kéo dài, em trở nên lo lắng không yên với xung quanh, kể cả với áp lực thi cử dù không muốn vậy.","NEGATIVE"
"Gần đây em cân đối được thời gian hơn nên việc tìm kiếm thực tập không còn là áp lực lớn, em thấy tự tin hơn trước nhiều.","POSITIVE"
"Em cũng muốn theo kịp lắm nhưng hiện tại chỉ thấy rất mệt mỏi thôi.","NEGATIVE"
"Vì không hiểu bài mà ngại hỏi nên dù mối quan hệ với thầy cô không hẳn là quá khó, em vẫn cứ thấy rất chán nản liên tục.","NEGATIVE"
"Em cũng muốn ổn định lắm nhưng hiện tại chỉ thấy không tập trung được thôi.","NEGATIVE"
"Gần đây em cân đối được thời gian hơn nên chuyện gia đình không còn là áp lực lớn, em thấy hứng thú hẳn lên.","POSITIVE"
"Cứ tưởng sẽ dễ ổn định hơn nhưng thực ra em đang cáu gắt liên tục nhiều lắm.","NEGATIVE"
"Dù hơi bực bội không kiểm soát được thật nhưng em vẫn đang vẫn học ổn bình thường.","NEUTRAL"
"Cứ nghĩ mọi thứ sẽ ổn hơn nhưng em lại thấy không theo kịp hoài.","NEGATIVE"
"Dù hơi cảm thấy bất an thật nhưng em vẫn đang giữ được tâm lý tốt bình thường.","NEUTRAL"
"Dù áp lực vì thiếu ngủ nhưng cuối cùng em vẫn vẫn học ổn.","POSITIVE"
"Cứ nghĩ mọi thứ sẽ ổn hơn nhưng em lại thấy rất mệt mỏi hoài.","NEGATIVE"
"Em biết nhóm không làm việc được với nhau không phải lỗi của ai nhưng cứ thấy đầu óc quay tít và không kiểm soát được cảm xúc.","NEGATIVE"
"Gần đây em cân đối được thời gian hơn nên lo ngại về việc làm không còn là áp lực lớn, em thấy yên tâm hơn nhiều.","POSITIVE"
"Tuy bực bội không kiểm soát được nhưng nhìn chung em vẫn vẫn học ổn.","NEUTRAL"
"Tưởng sẽ ổn định nhưng cuối cùng em lại thấy không tập trung được.","NEGATIVE"
"Dù thiếu ngủ, em vẫn cảm thấy ổn và vẫn học ổn được.","POSITIVE"
"Em cũng muốn hiểu bài lắm nhưng hiện tại chỉ thấy đuối sức thôi.","NEGATIVE"
"Cứ tưởng sẽ dễ vượt qua dễ dàng hơn nhưng thực ra em đang không theo kịp nhiều lắm.","NEGATIVE"
"Có lúc thấy stress nặng nhưng nhìn chung em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Gần đây em cân đối được thời gian hơn nên tài liệu học tập không còn là áp lực lớn, em thấy khá tự tin.","POSITIVE"
"Dù áp lực vì lịch học dày nhưng cuối cùng em vẫn giữ được tâm lý tốt.","POSITIVE"
"Mặc dù không theo kịp nhưng em vẫn giữ được tâm lý tốt được.","NEUTRAL"
"Tâm trạng em tốt hơn hẳn, nhìn lại tình trạng mệt mỏi em thấy hứng thú hẳn lên và dễ xử lý hơn trước.","POSITIVE"
"Cứ tưởng sẽ dễ ổn định hơn nhưng thực ra em đang mất động lực nhiều lắm.","NEGATIVE"
"Cứ tưởng sẽ dễ cân bằng được hơn nhưng thực ra em đang cảm thấy bất an nhiều lắm.","NEGATIVE"
"Hơi quá tải thật sự nhưng em vẫn hiểu được nội dung chính.","NEUTRAL"
"Tưởng sẽ vượt qua dễ dàng nhưng cuối cùng em lại thấy không tập trung được.","NEGATIVE"
"Mặc dù cảm thấy bất an nhưng em vẫn làm được bài tập được.","NEUTRAL"
"Cứ tưởng sẽ dễ cân bằng được hơn nhưng thực ra em đang đuối sức nhiều lắm.","NEGATIVE"
"Em chưa quyết định được hướng đi nên mọi thứ, kể cả lo âu về tương lai, vẫn còn không có gì nổi bật.","NEUTRAL"
"Chuyện thiếu ngủ liên tục mấy ngày đang ảnh hưởng nhiều, cứ tiếp cận mục tiêu cá nhân mà em luôn trong trạng thái kiệt sức mấy ngày nay.","NEGATIVE"
"Do bài nhiều mà thời gian không đủ kéo dài, em trở nên không thoải mái với xung quanh, kể cả với tâm trạng gần đây dù không muốn vậy.","NEGATIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại lo âu về tương lai em thấy khá tự tin và dễ xử lý hơn trước.","POSITIVE"
"Cứ tưởng sẽ dễ ổn định hơn nhưng thực ra em đang không theo kịp nhiều lắm.","NEGATIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại mục tiêu cá nhân em thấy hài lòng ghê và dễ xử lý hơn trước.","POSITIVE"
"Cứ tưởng sẽ dễ học tốt hơn nhưng thực ra em đang kiệt sức nhiều lắm.","NEGATIVE"
"Tâm trạng em tốt hơn hẳn, nhìn lại cân bằng học và nghỉ ngơi em thấy phấn khởi hơn nhiều và dễ xử lý hơn trước.","POSITIVE"
"Em biết cảm thấy cô đơn và không có ai chia sẻ không phải lỗi của ai nhưng cứ thấy nản lắm rồi và không kiểm soát được cảm xúc.","NEGATIVE"
"Dạo này tinh thần em khá ổn, đối mặt với lo âu về tương lai em thấy yên tâm hơn nhiều và dễ chịu hơn trước.","POSITIVE"
"Dạo này sinh hoạt của em hơi rối nên giấc ngủ cũng chỉ ở mức ở mức trung bình, chưa có gì nổi bật.","NEUTRAL"
"Hơi không tập trung được nhưng em vẫn hiểu được nội dung chính.","NEUTRAL"
"Cứ tưởng sẽ dễ vượt qua dễ dàng hơn nhưng thực ra em đang rất mệt mỏi nhiều lắm.","NEGATIVE"
"Dù hơi cáu gắt liên tục thật nhưng em vẫn đang làm được bài tập bình thường.","NEUTRAL"
"Chuyện cứ thất bại hoài không biết sai ở đâu đang ảnh hưởng nhiều, cứ tiếp cận kỳ thi cuối kỳ mà em luôn trong trạng thái khó theo kịp mấy ngày nay.","NEGATIVE"
"Hơi kiệt sức nhưng em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với kỳ thi cuối kỳ em thấy dễ tiếp thu hơn và dễ chịu hơn trước.","POSITIVE"
"Em không muốn than thở nhưng dạo này thật sự quá sức.","NEGATIVE"
"Dù áp lực thi cử nhưng em vẫn hiểu được nội dung chính tốt, không quá lo.","POSITIVE"
"Em cũng muốn học tốt lắm nhưng hiện tại chỉ thấy stress nặng thôi.","NEGATIVE"
"Em cũng muốn vượt qua dễ dàng lắm nhưng hiện tại chỉ thấy mất động lực thôi.","NEGATIVE"
"Bài tập vừa sức, em làm được mà vẫn học được thêm.","POSITIVE"
"Tuy rất mệt mỏi nhưng nhìn chung em vẫn làm được bài tập.","NEUTRAL"
"Dù bài hơi khó nhưng em vẫn xử lý ổn mọi thứ tốt, không quá lo.","POSITIVE"
"Gần đây em cân đối được thời gian hơn nên deadline bài tập không còn là áp lực lớn, em thấy chill hơn hẳn.","POSITIVE"
"Em cũng muốn vượt qua dễ dàng lắm nhưng hiện tại chỉ thấy cảm thấy bất an thôi.","NEGATIVE"
"Cứ tưởng sẽ dễ ổn định hơn nhưng thực ra em đang bực bội không kiểm soát được nhiều lắm.","NEGATIVE"
"Hơi bực bội không kiểm soát được nhưng em vẫn theo kịp bài.","NEUTRAL"
"Chuyện áp lực thi cử tích lũy quá lâu đang ảnh hưởng nhiều, cứ tiếp cận tốc độ giảng bài mà em luôn trong trạng thái hơi mệt mấy ngày nay.","NEGATIVE"
"Hơi không theo kịp nhưng em vẫn theo kịp bài.","NEUTRAL"
"Tâm trạng em tốt hơn hẳn, nhìn lại kỳ thi cuối kỳ em thấy thấy tiến bộ rõ và dễ xử lý hơn trước.","POSITIVE"
"Tưởng sẽ ổn định nhưng cuối cùng em lại thấy quá tải thật sự.","NEGATIVE"
"Em học theo được nhưng cần đọc thêm tài liệu ngoài.","NEUTRAL"
"Tưởng sẽ học tốt nhưng cuối cùng em lại thấy bực bội không kiểm soát được.","NEGATIVE"
"Gần đây em cân đối được thời gian hơn nên thời gian tự do không còn là áp lực lớn, em thấy rất thoải mái.","POSITIVE"
"thiếu ngủ không làm em nản, em vẫn giữ được tâm lý tốt như thường.","POSITIVE"
"Vì chuyện gia đình làm em phân tâm nên dù áp lực từ bố mẹ không hẳn là quá khó, em vẫn cứ thấy hoang mang thật sự liên tục.","NEGATIVE"
"Em cũng muốn cân bằng được lắm nhưng hiện tại chỉ thấy rất mệt mỏi thôi.","NEGATIVE"
"Em cũng muốn học tốt lắm nhưng hiện tại chỉ thấy rất mệt mỏi thôi.","NEGATIVE"
"Em chưa quyết định được hướng đi nên mọi thứ, kể cả bài thực hành, vẫn còn ổn định.","NEUTRAL"
"Mặc dù không tập trung được nhưng em vẫn vẫn học ổn được.","NEUTRAL"
"Gần đây em cân đối được thời gian hơn nên việc ăn uống không còn là áp lực lớn, em thấy có động lực hơn hẳn.","POSITIVE"
"Nhờ em chủ động hỏi thêm nên em có thêm năng lượng, thấy có động lực hơn hẳn với mọi thứ, kể cả cân bằng học và nghỉ ngơi.","POSITIVE"
"Hơi đuối sức nhưng em vẫn theo kịp bài.","NEUTRAL"
"Hơi kiệt sức nhưng em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Em cũng muốn ổn định lắm nhưng hiện tại chỉ thấy mất động lực thôi.","NEGATIVE"
"Mặc dù stress nặng nhưng em vẫn hiểu được nội dung chính được.","NEUTRAL"
"Em cũng muốn cân bằng được lắm nhưng hiện tại chỉ thấy cáu gắt liên tục thôi.","NEGATIVE"
"Tuy cảm thấy bất an nhưng nhìn chung em vẫn hiểu được nội dung chính.","NEUTRAL"
"Được thầy hướng dẫn tận tình, em hiểu ra nhiều thứ.","POSITIVE"
"Em cũng muốn hiểu bài lắm nhưng hiện tại chỉ thấy không theo kịp thôi.","NEGATIVE"
"Dù hơi cảm thấy bất an thật nhưng em vẫn đang theo kịp bài bình thường.","NEUTRAL"
"Chưa có gì nổi bật, mọi thứ đang ở mức trung bình.","NEUTRAL"
"Chuyện không có tài liệu rõ ràng đang ảnh hưởng nhiều, cứ tiếp cận cách chấm điểm mà em luôn trong trạng thái hơi mệt mấy ngày nay.","NEGATIVE"
"Em biết không hiểu bài mà ngại hỏi không phải lỗi của ai nhưng cứ thấy đuối sức và không kiểm soát được cảm xúc.","NEGATIVE"
"Em cũng muốn cân bằng được lắm nhưng hiện tại chỉ thấy bực bội không kiểm soát được thôi.","NEGATIVE"
"Dạo này tinh thần em khá ổn, đối mặt với đi lại hàng ngày em thấy khá tự tin và dễ chịu hơn trước.","POSITIVE"
"Em chưa quyết định được hướng đi nên mọi thứ, kể cả chi tiêu hàng tháng, vẫn còn không thích không ghét.","NEUTRAL"
"Em cũng muốn theo kịp lắm nhưng hiện tại chỉ thấy mất động lực thôi.","NEGATIVE"
"Em đang phải vừa lo chuyện gia đình làm em phân tâm vừa lo áp lực từ bố mẹ, cảm giác kiệt sức thật sự, không biết trụ được bao lâu.","NEGATIVE"
"Tuy cảm thấy bất an nhưng nhìn chung em vẫn vẫn học ổn.","NEUTRAL"
"tiến độ nhanh không làm em nản, em vẫn hiểu được nội dung chính như thường.","POSITIVE"
"Tuy rất mệt mỏi nhưng nhìn chung em vẫn vẫn học ổn.","NEUTRAL"
"Dù tiến độ nhanh, em vẫn cảm thấy ổn và xử lý ổn mọi thứ được.","POSITIVE"
"Hơi mất động lực nhưng em vẫn làm được bài tập.","NEUTRAL"
"Cứ tưởng sẽ dễ theo kịp hơn nhưng thực ra em đang không tập trung được nhiều lắm.","NEGATIVE"
"Hơi rất mệt mỏi nhưng em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Em cũng muốn cân bằng được lắm nhưng hiện tại chỉ thấy cảm thấy bất an thôi.","NEGATIVE"
"Em cũng muốn ổn định lắm nhưng hiện tại chỉ thấy không theo kịp thôi.","NEGATIVE"
"Hơi mất động lực nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Dù áp lực vì áp lực thi cử nhưng cuối cùng em vẫn theo kịp bài.","POSITIVE"
"Em chưa quyết định được hướng đi nên mọi thứ, kể cả sức đề kháng giảm, vẫn còn vừa phải.","NEUTRAL"
"Có lúc thấy đuối sức nhưng nhìn chung em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Dạo này tinh thần em khá ổn, đối mặt với feedback từ thầy cô em thấy yên tâm hơn nhiều và dễ chịu hơn trước.","POSITIVE"
"Vì chuyện gia đình làm em phân tâm nên dù sự phù hợp của ngành học không hẳn là quá khó, em vẫn cứ thấy mệt mỏi ghê liên tục.","NEGATIVE"
"Tuy kiệt sức nhưng nhìn chung em vẫn giữ được tâm lý tốt.","NEUTRAL"
"Tưởng sẽ học tốt nhưng cuối cùng em lại thấy cảm thấy bất an.","NEGATIVE"
"Em cảm thấy kiệt sức cả thể xác lẫn tinh thần, không còn sức để cố nữa.","NEGATIVE"
"Khối lượng bài vừa đủ, không nhàn quá mà cũng không nhiều quá.","NEUTRAL"
"Dù tiến độ nhanh nhưng em vẫn xử lý ổn mọi thứ tốt, không quá lo.","POSITIVE"
"Nhờ em chủ động hỏi thêm nên em có thêm năng lượng, thấy dễ tiếp thu hơn với mọi thứ, kể cả việc nấu ăn tự túc.","POSITIVE"
"Tuy stress nặng nhưng nhìn chung em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Chuyện không hiểu bài mà ngại hỏi đang ảnh hưởng nhiều, cứ tiếp cận bài kiểm tra giữa kỳ mà em luôn trong trạng thái khó theo kịp mấy ngày nay.","NEGATIVE"
"Dù áp lực thi cử nhưng em vẫn xử lý ổn mọi thứ tốt, không quá lo.","POSITIVE"
"Dù thiếu ngủ nhưng em vẫn vẫn học ổn tốt, không quá lo.","POSITIVE"
"Nhờ sắp xếp được thời gian hợp lý nên em có thêm năng lượng, thấy rất thoải mái với mọi thứ, kể cả chỗ ở trọ.","POSITIVE"
"Tưởng sẽ vượt qua dễ dàng nhưng cuối cùng em lại thấy quá tải thật sự.","NEGATIVE"
"Cứ tưởng sẽ dễ học tốt hơn nhưng thực ra em đang mất động lực nhiều lắm.","NEGATIVE"
"Dù lịch học dày nhưng em vẫn giữ được tâm lý tốt tốt, không quá lo.","POSITIVE"
"Tuy kiệt sức nhưng nhìn chung em vẫn xử lý ổn mọi thứ.","NEUTRAL"
"Dù áp lực thi cử, em vẫn cảm thấy ổn và theo kịp bài được.","POSITIVE"
"Em biết áp lực thi cử tích lũy quá lâu không phải lỗi của ai nhưng cứ thấy hơi mệt và không kiểm soát được cảm xúc.","NEGATIVE"
"Tưởng sẽ vượt qua dễ dàng nhưng cuối cùng em lại thấy không theo kịp.","NEGATIVE"
"Gần đây em cân đối được thời gian hơn nên mối quan hệ nhóm không còn là áp lực lớn, em thấy nhẹ đầu hơn nhiều.","POSITIVE"
"Em cũng muốn theo kịp lắm nhưng hiện tại chỉ thấy không theo kịp thôi.","NEGATIVE"
"Mặc dù cảm thấy bất an nhưng em vẫn giữ được tâm lý tốt được.","NEUTRAL"
"Tưởng sẽ hiểu bài nhưng cuối cùng em lại thấy stress nặng.","NEGATIVE"
"Cứ tưởng sẽ dễ hiểu bài hơn nhưng thực ra em đang cảm thấy bất an nhiều lắm.","NEGATIVE"
"Mặc dù kiệt sức nhưng em vẫn làm được bài tập được.","NEUTRAL"
"Tâm trạng em tốt hơn hẳn, nhìn lại lịch học em thấy phấn khởi hơn nhiều và dễ xử lý hơn trước.","POSITIVE"
"Nhờ tài liệu rõ ràng hơn nên em có thêm năng lượng, thấy khá tự tin với mọi thứ, kể cả mục tiêu cá nhân.","POSITIVE"
"Nhờ tâm lý thoải mái hơn nên em có thêm năng lượng, thấy khá tự tin với mọi thứ, kể cả cân bằng học và nghỉ ngơi.","POSITIVE"
"Tuy mất động lực nhưng nhìn chung em vẫn theo kịp bài.","NEUTRAL"
"Nhờ em chủ động hỏi thêm nên em có thêm năng lượng, thấy vui vì hiểu ra rồi với mọi thứ, kể cả kỳ thi cuối kỳ.","POSITIVE"
"Tưởng sẽ vượt qua dễ dàng nhưng cuối cùng em lại thấy rất mệt mỏi.","NEGATIVE"
